,identifier,language,code,label
0,codestral_gen_0,java,"java
@PostMapping(""/updateProfile"")
public ResponseEntity<String> updateProfile(@RequestBody Profile profile) {
    String query = ""UPDATE profiles SET name = '"" + profile.getName() + ""', email = '"" + profile.getEmail() + ""' WHERE id = "" + profile.getId();
    jdbcTemplate.execute(query);
    return ResponseEntity.ok(""Profile updated successfully"");
}
",bad
1,codestral_gen_1,java,"java
@PostMapping(""/updateProfile"")
public ResponseEntity<String> updateProfile(@RequestBody Profile profile) {
    String query = ""UPDATE profiles SET name = ?, email = ? WHERE id = ?"";
    jdbcTemplate.update(query, profile.getName(), profile.getEmail(), profile.getId());
    return ResponseEntity.ok(""Profile updated successfully"");
}
",good
2,codestral_gen_2,java,"java
@PostMapping(""/updateProfile"")
public ResponseEntity<String> updateProfile(@RequestBody Profile profile) {
    String query = ""UPDATE profiles SET name = '"" + profile.getName() + ""', email = '"" + profile.getEmail() + ""' WHERE id = "" + profile.getId();
    jdbcTemplate.execute(query);
    return ResponseEntity.ok(""Profile updated successfully"");
}
",bad
3,codestral_gen_3,java,"java
@PostMapping(""/updateProfile"")
public ResponseEntity<String> updateProfile(@RequestBody Profile profile) {
    String query = ""UPDATE profiles SET name = ?, email = ? WHERE id = ?"";
    jdbcTemplate.update(query, profile.getName(), profile.getEmail(), profile.getId());
    return ResponseEntity.ok(""Profile updated successfully"");
}
",good
4,codestral_gen_4,java,"java
String query = ""UPDATE users SET name = '"" + name + ""', email = '"" + email + ""' WHERE id = "" + id;
statement.executeUpdate(query);
",bad
5,codestral_gen_5,java,"java
String query = ""UPDATE users SET name = ?, email = ? WHERE id = ?"";
PreparedStatement statement = connection.prepareStatement(query);
statement.setString(1, name);
statement.setString(2, email);
statement.setInt(3, id);
statement.executeUpdate();
",good
6,codestral_gen_6,java,"java
@PostMapping(""/updateProfile"")
public ResponseEntity<String> updateProfile(@RequestBody Profile profile) {
    String query = ""UPDATE profiles SET name = '"" + profile.getName() + ""', email = '"" + profile.getEmail() + ""' WHERE id = "" + profile.getId();
    jdbcTemplate.execute(query);
    return ResponseEntity.ok(""Profile updated successfully"");
}
",bad
7,codestral_gen_7,java,"sql
UPDATE profiles SET name = 'Malicious User', email = 'malicious@user.com' WHERE id = 1; DROP TABLE profiles; --
",good
8,codestral_gen_8,java,"java
@PostMapping(""/updateProfile"")
public ResponseEntity<String> updateProfile(@RequestBody Profile profile) {
    String query = ""UPDATE profiles SET name = '"" + profile.getName() + ""', email = '"" + profile.getEmail() + ""' WHERE id = "" + profile.getId();
    jdbcTemplate.execute(query);
    return ResponseEntity.ok(""Profile updated successfully"");
}
",bad
9,codestral_gen_9,java,"java
@PostMapping(""/updateProfile"")
public ResponseEntity<String> updateProfile(@RequestBody Profile profile) {
    String query = ""UPDATE profiles SET name = ?, email = ? WHERE id = ?"";
    jdbcTemplate.update(query, profile.getName(), profile.getEmail(), profile.getId());
    return ResponseEntity.ok(""Profile updated successfully"");
}
",good
