,identifier,language,code,label
0,codestral_gen_0,java,"String query = ""UPDATE products SET quantity = quantity - "" + quantity + "" WHERE id = "" + id;
statement.executeUpdate(query);
",bad
1,codestral_gen_1,java,"String query = ""UPDATE products SET quantity = quantity - ? WHERE id = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setInt(1, quantity);
preparedStatement.setInt(2, id);
preparedStatement.executeUpdate();
",good
2,codestral_gen_2,java,"String query = ""DELETE FROM posts WHERE id = "" + postId;
statement.executeUpdate(query);
",bad
3,codestral_gen_3,java,"String query = ""DELETE FROM posts WHERE id = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setInt(1, postId);
preparedStatement.executeUpdate();
",good
4,codestral_gen_4,java,"String query = ""INSERT INTO comments (post_id, user_id, content) VALUES ("" + postId + "", "" + userId + "", '"" + content + ""')"";
statement.executeUpdate(query);
",bad
5,codestral_gen_5,java,"String query = ""INSERT INTO comments (post_id, user_id, content) VALUES (?, ?, ?)"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setInt(1, postId);
preparedStatement.setInt(2, userId);
preparedStatement.setString(3, content);
preparedStatement.executeUpdate();
",good
6,codestral_gen_6,java,"String query = ""SELECT * FROM jobs WHERE title LIKE '%"" + keyword + ""%'"";
ResultSet resultSet = statement.executeQuery(query);
",bad
7,codestral_gen_7,java,"String query = ""SELECT * FROM jobs WHERE title LIKE ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, ""%"" + keyword + ""%"");
ResultSet resultSet = preparedStatement.executeQuery();
",good
8,codestral_gen_8,java,"String query = ""SELECT * FROM books WHERE author = '"" + author + ""' OR title = '"" + title + ""'"";
ResultSet resultSet = statement.executeQuery(query);
",bad
9,codestral_gen_9,java,"String query = ""SELECT * FROM books WHERE author = ? OR title = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, author);
preparedStatement.setString(2, title);
ResultSet resultSet = preparedStatement.executeQuery();
",good
10,codestral_gen_10,java,"String query = ""INSERT INTO workouts (user_id, exercise, duration, date) VALUES ("" + userId + "", '"" + exercise + ""', "" + duration + "", '"" + date + ""')"";
statement.executeUpdate(query);
",bad
11,codestral_gen_11,java,"String query = ""INSERT INTO workouts (user_id, exercise, duration, date) VALUES (?, ?, ?, ?)"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setInt(1, userId);
preparedStatement.setString(2, exercise);
preparedStatement.setInt(3, duration);
preparedStatement.setDate(4, date);
preparedStatement.executeUpdate();
",good
12,codestral_gen_12,java,"String query = ""SELECT * FROM weather_data WHERE location = '"" + location + ""'"";
ResultSet resultSet = statement.executeQuery(query);
",bad
13,codestral_gen_13,java,"String query = ""SELECT * FROM weather_data WHERE location = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, location);
ResultSet resultSet = preparedStatement.executeQuery();
",good
14,codestral_gen_14,java,"String query = ""SELECT * FROM recipes WHERE ingredients LIKE '%"" + ingredient + ""%' OR cuisine = '"" + cuisine + ""'"";
ResultSet resultSet = statement.executeQuery(query);
",bad
15,codestral_gen_15,java,"String query = ""SELECT * FROM recipes WHERE ingredients LIKE ? OR cuisine = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, ""%"" + ingredient + ""%"");
preparedStatement.setString(2, cuisine);
ResultSet resultSet = preparedStatement.executeQuery();
",good
16,codestral_gen_16,java,"String query = ""SELECT * FROM songs WHERE title = '"" + title + ""' OR artist = '"" + artist + ""' OR genre = '"" + genre + ""'"";
ResultSet resultSet = statement.executeQuery(query);
",bad
17,codestral_gen_17,java,"String query = ""SELECT * FROM songs WHERE title = ? OR artist = ? OR genre = ?"";
PreparedStatement preparedStatement = connection.prepareStatement(query);
preparedStatement.setString(1, title);
preparedStatement.setString(2, artist);
preparedStatement.setString(3, genre);
ResultSet resultSet = preparedStatement.executeQuery();
",good
18,codestral_gen_18,java,"String query = ""SELECT * FROM flights WHERE destination = '"" + destination + ""' AND departure_date = '"" + departureDate + ""' AND available_seats >= "" + numPassengers;
ResultSet resultSet = statement.executeQuery(query);
",bad
