,identifier,language,code,label
0,commits,java,"String sql = String.format(""insert into %s (timestamp, %s) values (%d, %s)"",
    deviceId, field, timestamp, value + """");
statement.execute(sql);
",bad
1,commits,good,"String sql = ""insert into ? (timestamp, ?) values (?, ?)"";
PreparedStatement preparedStatement = connection.prepareStatement(sql);
preparedStatement.setString(1, deviceId);
preparedStatement.setString(2, field);
preparedStatement.setLong(3, timestamp);
preparedStatement.setInt(4, value);
preparedStatement.executeUpdate();
",good
2,commits,java,"String userquery = String.format(""SELECT %s FROM %s"", username, tablename);
",bad
3,commits,good,"String userquery = String.format(""SELECT %s FROM %s WHERE 1=1"", username, tablename);
",good
4,commits,java,"String query = ""SELECT * FROM book"";
// ...
query += "";"";
// ...
PreparedStatement stmt = conn.prepareStatement(query);
",bad
5,commits,good,"String query = ""SELECT * FROM book WHERE id = ?"";
PreparedStatement stmt = conn.prepareStatement(query);
stmt.setInt(1, Integer.parseInt(id));
",good
6,commits,java,"stmt.execute(""SELECT * FROM economy ORDER BY balance DESC limit 10;"");
",bad
7,commits,good,"PreparedStatement pstmt = db.prepareStatement(""SELECT * FROM economy ORDER BY balance DESC limit ?;"");
pstmt.setInt(1, 10);
pstmt.execute();
",good
8,commits,java,"sqLiteDatabase.delete(ReportsTableConsts.TABLE_NAME,
                ReportsTableConsts.UUID_COLUMN + ""='"" + reportUuid + ""'"", null);
",bad
9,commits,good,"sqLiteDatabase.delete(ReportsTableConsts.TABLE_NAME,
                ReportsTableConsts.UUID_COLUMN + ""=?"", new String[]{reportUuid});
",good
10,commits,java,"List<User> list = userManager.findByCondition("" where qq_openid = '""+openId+""' "").getResultlist();
",bad
11,commits,good,"List<User> list = userManager.findByCondition("" where qq_openid = ? "", openId).getResultlist();
",good
12,commits,java,"Map<String, String> regexReplacementMap = new HashMap<>();
regexReplacementMap.put("".*"", ""'; DROP TABLE users; --"");
String filteredStmt = MySqlUtils.filterStmtByRegex(""SELECT * FROM users WHERE id = 1"", regexReplacementMap, endpoint, ""users"");
",bad
13,commits,java,"String query = ""insert into comments(movieId, userId, comment) values ("" + comment.getMovieId() + "", "" + comment.getUserId() + "", '"" + comment.getComment() + ""')"";
",bad
14,commits,good,"public void create(Comment comment) {
    String query = ""insert into comments(movieId, userId, comment) values (?, ?, ?)"";

    try (Connection connection = dataSource.getConnection();
         PreparedStatement statement = connection.prepareStatement(query);
    ) {
        statement.setInt(1, comment.getMovieId());
        statement.setInt(2, comment.getUserId());
        statement.setString(3, comment.getComment());
        statement.executeUpdate();
    } catch (SQLException e) {
        e.printStackTrace();
    }
}
",good
15,commits,java,"Query query = entityManager.createNativeQuery(""SELECT * FROM carts_tx  WHERE customerId = :customerId"", CartEntity.class);
query.setParameter(""customerId"", customerId);
",bad
16,commits,good,"TypedQuery<CartEntity> query = entityManager.createQuery(""SELECT c FROM CartEntity c WHERE c.customerId = :customerId"", CartEntity.class);
query.setParameter(""customerId"", customerId);
",good
17,commits,java,"final String query = String.format(""SELECT * FROM %s WHERE %s = '%s' AND %s = '%s'; "",
                DatabaseHelper.ACCOUNTS_TABLE,
                DatabaseHelper.USERNAME_COL, username,
                DatabaseHelper.PASSWORD_COL, Authentication.SHA256(password));
",bad
