,identifier,language,code,label,Unnamed: 0
0,commits,java,"stmt.execute(""SELECT * FROM economy ORDER BY balance DESC limit 10;"");
",1,
1,commits,java,"String where = "" role='"" + role + ""' "";
",1,
2,commits,java,"String sql = ""select * from pengembalian WHERE kode_pengembalian LIKE '%""+carii+""%'OR judul_buku LIKE '""+carii+""'"";
",1,
3,commits,java,"String where = "" username='"" + username + ""' "";
",1,
4,commits,good,"String sql = ""select * from peminjaman WHERE kode_peminjaman LIKE ? OR judul_buku LIKE ?"";
PreparedStatement statement = pkk.koneksi.konek().prepareStatement(sql);
statement.setString(1, ""%"" + carii + ""%"");
statement.setString(2, ""%"" + carii + ""%"");
ResultSet cari = statement.executeQuery();
",0,
5,commits,java,"stmnt.addFilter(col + "" = '"" + o.toString() + ""'"");
",1,
6,commits,good,"stmnt.addFilter(col + "" = ?"");
dbQuery.setObject(1, o);
",0,
7,commits,java,"String sql = ""INSERT INTO buku VALUES ('""+kode_buku.getText()+""','""+judul_buku.getText()+""','""+tanggal_beli.getText().toString()+""','""+pengarang.getText()+""','""+penerbit.getText()+""','""+tahun_terbit.getText()+""','""+jumlah_buku.getText()+""')"";
",1,
8,commits,good,"String sql = ""INSERT INTO buku VALUES (?, ?, ?, ?, ?, ?, ?)"";
PreparedStatement statement = pkk.koneksi.konek().prepareStatement(sql);
statement.setString(1, kode_buku.getText());
statement.setString(2, judul_buku.getText());
statement.setString(3, tanggal_beli.getText().toString());
statement.setString(4, pengarang.getText());
statement.setString(5, penerbit.getText());
statement.setString(6, tahun_terbit.getText());
statement.setString(7, jumlah_buku.getText());
statement.executeUpdate();
",0,
9,commits,java,"String sql = ""INSERT INTO buku VALUES ('""+kode_buku.getText()+""','""+judul_buku.getText()+""','""+tanggal_beli.getText().toString()+""','""+pengarang.getText()+""','""+penerbit.getText()+""','""+tahun_terbit.getText()+""','""+jumlah_buku.getText()+""')"";
",1,
10,commits,good,"String sql = ""INSERT INTO buku VALUES (?, ?, ?, ?, ?, ?, ?)"";
PreparedStatement statement = pkk.koneksi.konek().prepareStatement(sql);
statement.setString(1, kode_buku.getText());
statement.setString(2, judul_buku.getText());
statement.setString(3, tanggal_beli.getText().toString());
statement.setString(4, pengarang.getText());
statement.setString(5, penerbit.getText());
statement.setString(6, tahun_terbit.getText());
statement.setString(7, jumlah_buku.getText());
statement.executeUpdate();
",0,
11,commits,java,"stmt.execute(""SELECT * FROM economy ORDER BY balance DESC limit 10;"");
",1,
12,commits,java,"String sql = ""select * from pengembalian WHERE kode_pengembalian LIKE '%""+carii+""%'OR judul_buku LIKE '""+carii+""'"";
",1,
13,commits,java,"String where = "" role='"" + role + ""' "";
",1,
14,commits,java,"String Sql=""select * from peminjaman where tanggal_pinjam='""+harian.getSelectedItem()+""'"";
",1,
15,commits,java,"String Sql=""select * from peminjaman where tanggal_pinjam='""+harian.getSelectedItem()+""'"";
",1,
